City,Bedroom,Region,Price,RateperSqft,CarpetArea,TransactionType
Mumbai,3.0,Chembur Mumbai,372.0,36470.59,1020.0,New Property
Mumbai,2.0,Kanjurmarg West Mumbai,242.0,32614.56,742.0,New Property
Mumbai,5.0,Mulund West Mumbai,813.0,27813.89,2923.0,New Property
Mumbai,2.0,Chembur Mumbai,232.0,37239.17,623.0,New Property
Mumbai,1.0,Borivali East Mumbai,245.23,35284.63,695.0,New Property
Mumbai,3.0,Santacruz West Mumbai,891.0,70658.21,1261.0,New Property
Mumbai,3.0,Bandra East Mumbai,413.0,52015.11,794.0,New Property
Mumbai,4.0,Bandra East Mumbai,531.0,36747.4,1445.0,New Property
Mumbai,4.0,Jogeshwari Vikhroli Link Road Mumbai,432.0,25852.78,1671.0,New Property
Mumbai,3.0,Kandivali East Mumbai,251.0,24042.15,1044.0,New Property
Mumbai,3.0,Powai Mumbai,382.0,29820.45,1281.0,New Property
Mumbai,2.0,Jogeshwari West Mumbai,128.0,23880.6,536.0,New Property
Mumbai,2.0,Chembur Mumbai,279.0,37249.67,749.0,New Property
Mumbai,3.0,Khar West Mumbai,909.0,60000.0,1515.0,New Property
Mumbai,2.0,Powai Mumbai,307.0,37901.23,810.0,New Property
Mumbai,4.0,Worli Mumbai,1440.0,66790.35,2156.0,New Property
Mumbai,1.0,Mahim Mumbai,201.0,45475.11,442.0,New Property
Mumbai,2.0,Vasai West Mumbai,245.23,35284.63,695.0,New Property
Mumbai,4.0,Kandivali East Mumbai,377.0,24512.35,1538.0,New Property
Mumbai,2.0,Kanjurmarg West Mumbai,209.0,28551.91,732.0,New Property
Mumbai,3.0,Borivali East Mumbai,535.0,41862.28,1278.0,New Property
Mumbai,3.0,Wadala Mumbai,620.0,44765.34,1385.0,New Property
Mumbai,3.0,Jogeshwari West Mumbai,202.0,24969.1,809.0,New Property
Mumbai,2.0,Chembur Mumbai,206.0,31888.54,646.0,New Property
Mumbai,2.0,Mulund West Mumbai,168.0,24852.07,676.0,New Property
Mumbai,3.0,Sion Mumbai,808.0,45013.93,1795.0,New Property
Mumbai,2.0,Malad West Mumbai,202.0,29275.36,690.0,New Property
Mumbai,2.0,Kandivali West Mumbai,240.0,29339.85,818.0,New Property
Mumbai,3.0,Kanjurmarg East Mumbai,206.0,25750.0,800.0,New Property
Mumbai,4.0,Prabhadevi Mumbai,1457.0,66865.53,2179.0,New Property
Mumbai,3.0,Powai Mumbai,569.0,42336.31,1344.0,New Property
Mumbai,2.0,Virar West Mumbai,245.23,41493.77,591.0,New Property
Mumbai,2.0,Bhayandar East Mumbai,139.0,20653.79,673.0,New Property
Mumbai,3.0,Mira Road Area Mumbai,195.0,19918.28,979.0,New Property
Mumbai,2.0,Kandivali East Mumbai,245.23,75922.03,323.0,New Property
Mumbai,3.0,Malad West Mumbai,251.0,24876.11,1009.0,New Property
Mumbai,2.0,Mira Road Area Mumbai,245.23,35540.31,690.0,New Property
Mumbai,3.0,Borivali West Mumbai,421.0,32063.98,1313.0,New Property
Mumbai,2.0,Mira Road East Mumbai,104.0,16774.19,620.0,New Property
Mumbai,2.0,Dadar West Mumbai,334.0,53870.97,620.0,New Property
Mumbai,2.0,Dahisar East Mumbai,105.0,16800.0,625.0,New Property
Mumbai,3.0,Goregaon West Mumbai,271.0,29046.09,933.0,New Property
Mumbai,2.0,Dahisar East Mumbai,120.0,21089.63,569.0,New Property
Mumbai,2.0,Byculla Mumbai,289.0,38126.65,758.0,New Property
Mumbai,2.0,Kandivali West Mumbai,143.0,22239.5,643.0,New Property
Mumbai,4.0,Andheri East Mumbai,380.0,31986.53,1188.0,New Property
Mumbai,5.0,Borivali East Mumbai,652.0,25183.47,2589.0,New Property
Mumbai,3.0,Santacruz West Mumbai,732.0,54996.24,1331.0,New Property
Mumbai,2.0,Bandra East Mumbai,225.0,41666.67,540.0,New Property
Mumbai,4.0,Borivali West Mumbai,560.0,31981.72,1751.0,New Property
Mumbai,3.0,Byculla Mumbai,597.0,38146.96,1565.0,New Property
Mumbai,4.0,Sewri Mumbai,1150.0,51088.41,2251.0,New Property
Mumbai,2.0,Andheri West Mumbai,275.0,38623.6,712.0,New Property
Mumbai,4.0,Worli Mumbai,1248.0,58979.21,2116.0,New Property
Mumbai,3.0,Mulund West Mumbai,249.0,20750.0,1200.0,New Property
Mumbai,2.0,Borivali East Mumbai,164.0,25114.85,653.0,New Property
Mumbai,3.0,Chunabhatti Mumbai,272.0,27983.54,972.0,New Property
Mumbai,4.0,Borivali East Mumbai,638.0,28520.34,2237.0,New Property
Mumbai,3.0,Malad West Mumbai,279.0,30558.6,913.0,New Property
Mumbai,2.0,Kanjurmarg East Mumbai,144.0,21719.46,663.0,New Property
Mumbai,2.0,Dadar West Mumbai,390.0,52278.82,746.0,New Property
Mumbai,3.0,Kanjurmarg East Mumbai,320.0,30476.19,1050.0,New Property
Mumbai,2.0,Chembur Mumbai,206.0,28453.04,724.0,New Property
Mumbai,2.0,Byculla Mumbai,472.0,53819.84,877.0,New Property
Mumbai,3.0,Chembur Mumbai,374.0,38398.36,974.0,New Property
Mumbai,2.0,Kandivali East Mumbai,200.0,25608.19,781.0,New Property
Mumbai,2.0,Mulund West Mumbai,300.0,28846.15,1040.0,New Property
Mumbai,2.0,Santacruz West Mumbai,473.0,66432.58,712.0,New Property
Mumbai,2.0,Ghatkopar East Mumbai,233.0,33965.01,686.0,New Property
Mumbai,3.0,Mulund West Mumbai,368.0,27483.2,1339.0,New Property
Mumbai,2.0,Goregaon East Mumbai,154.0,26829.27,574.0,New Property
Mumbai,3.0,Chembur Mumbai,495.0,40540.54,1221.0,New Property
Mumbai,2.0,Virar Mumbai,245.23,38019.87,645.0,New Property
Mumbai,2.0,Govandi Mumbai,207.0,22378.38,925.0,New Property
Mumbai,2.0,Jogeshwari East Mumbai,126.0,17027.03,740.0,New Property
Mumbai,4.0,Chembur Mumbai,470.0,34132.17,1377.0,New Property
Mumbai,3.0,Wadala Mumbai,360.0,32085.56,1122.0,New Property
Mumbai,2.0,Ghatkopar West Mumbai,166.0,12677.38,1309.42,New Property
Mumbai,3.0,Mulund West Mumbai,410.0,29057.41,1411.0,New Property
Mumbai,2.0,Mulund West Mumbai,135.0,23396.88,577.0,New Property
Mumbai,2.0,Kanjurmarg West Mumbai,196.0,31818.18,616.0,New Property
Mumbai,2.0,Mira Road East Mumbai,100.0,16666.67,600.0,New Property
Mumbai,4.0,Powai Mumbai,825.0,49253.73,1675.0,New Property
Mumbai,3.0,Andheri West Mumbai,330.0,32038.83,1030.0,New Property
Mumbai,3.0,Goregaon East Mumbai,420.0,38181.82,1100.0,Resale
Mumbai,4.0,Chembur Mumbai,750.0,39123.63,1917.0,New Property
Mumbai,3.0,Kandivali East Mumbai,300.0,28011.2,1071.0,Resale
Mumbai,4.0,Goregaon West Mumbai,400.0,29717.68,1346.0,New Property
Mumbai,2.0,Byculla Mumbai,360.0,51136.36,704.0,New Property
Mumbai,3.0,Goregaon West Mumbai,295.0,31052.63,950.0,New Property
Mumbai,4.0,Worli Mumbai,880.0,46315.79,1900.0,Resale
Mumbai,4.0,Andheri West Mumbai,450.0,37190.08,1210.0,Resale
Mumbai,3.0,Goregaon West Mumbai,280.0,34104.75,821.0,Resale
Mumbai,4.0,Borivali East Mumbai,625.0,48188.13,1297.0,Resale
Mumbai,2.0,Mulund East Mumbai,196.0,25789.47,760.0,New Property
Mumbai,2.0,Kanjurmarg East Mumbai,175.0,24752.48,707.0,Resale
Mumbai,3.0,Mulund West Mumbai,312.0,32000.0,975.0,Resale
Mumbai,4.0,Goregaon East Mumbai,1300.0,99280.69,1309.42,New Property
Mumbai,3.0,Wadala East Mumbai,274.0,29494.08,929.0,New Property
Mumbai,2.0,Mira Road East Mumbai,245.23,35032.6,700.0,New Property
Mumbai,3.0,Sion Mumbai,250.0,27292.58,916.0,New Property
Mumbai,2.0,Andheri East Mumbai,185.0,32062.39,577.0,New Property
Mumbai,4.0,Mulund West Mumbai,599.0,31100.73,1926.0,Resale
Mumbai,2.0,Andheri West Mumbai,420.0,46666.67,900.0,New Property
Mumbai,3.0,Worli Mumbai,1635.0,88521.93,1847.0,New Property
Mumbai,3.0,Powai Mumbai,225.0,25139.66,895.0,Resale
Mumbai,3.0,Worli Mumbai,750.0,59808.61,1254.0,New Property
Mumbai,2.0,Mahim Mumbai,410.0,31311.6,1309.42,New Property
Mumbai,3.0,Malad West Mumbai,235.0,19028.34,1235.0,New Property
Mumbai,2.0,Vikhroli Mumbai,245.23,43790.74,560.0,New Property
Mumbai,2.0,Malad West Mumbai,202.0,27371.27,738.0,New Property
Mumbai,1.0,Borivali East Mumbai,115.0,25555.56,450.0,New Property
Mumbai,4.0,Powai Mumbai,780.0,37142.86,2100.0,Resale
Mumbai,1.0,Mira Road East Mumbai,245.23,57700.75,425.0,New Property
Mumbai,2.0,Mira Road East Mumbai,245.23,37554.08,653.0,New Property
Mumbai,1.0,Mira Road East Mumbai,245.23,50666.98,484.0,Resale
Mumbai,2.0,Mulund East Mumbai,172.0,27520.0,625.0,New Property
Mumbai,4.0,Andheri East Mumbai,606.0,30119.28,2012.0,New Property
Mumbai,3.0,Prabhadevi Mumbai,750.0,52011.1,1442.0,New Property
Mumbai,3.0,Chembur Mumbai,340.0,30797.1,1104.0,New Property
Mumbai,4.0,Worli Mumbai,1120.0,70000.0,1600.0,Resale
Mumbai,1.0,Mulund West Mumbai,122.0,27790.43,439.0,New Property
Mumbai,2.0,Andheri East Mumbai,280.0,32941.18,850.0,Resale
Mumbai,2.0,Andheri East Mumbai,270.0,36290.32,744.0,Resale
Mumbai,2.0,Kandivali East Mumbai,235.0,31333.33,750.0,New Property
Mumbai,2.0,Wadala Mumbai,260.0,37735.85,689.0,New Property
Mumbai,2.0,Andheri West Mumbai,230.0,35937.5,640.0,Resale
Mumbai,2.0,Borivali West Mumbai,215.0,33333.33,645.0,Resale
Mumbai,3.0,Bandra West Mumbai,650.0,56521.74,1150.0,Resale
Mumbai,3.0,Juhu Mumbai,645.0,50351.29,1281.0,New Property
Mumbai,4.0,Mahalakshmi Mumbai,1300.0,61904.76,2100.0,Resale
Mumbai,2.0,Mulund West Mumbai,200.0,43763.68,457.0,New Property
Mumbai,3.0,Ghatkopar West Mumbai,525.0,44871.79,1170.0,Resale
Mumbai,2.0,Vikhroli East Mumbai,275.0,32391.05,849.0,Resale
Mumbai,2.0,Santacruz West Mumbai,325.0,41935.48,775.0,Resale
Mumbai,3.0,Wadala Mumbai,529.0,39774.44,1330.0,Resale
Mumbai,3.0,Vile Parle East Mumbai,518.0,50000.0,1036.0,New Property
Mumbai,4.0,Juhu Mumbai,1250.0,68832.6,1816.0,Resale
Mumbai,2.0,Bandra West Mumbai,550.0,55000.0,1000.0,Resale
Mumbai,3.0,Jogeshwari West Mumbai,235.0,22190.75,1059.0,Resale
Mumbai,2.0,Malad East Mumbai,147.0,23595.51,623.0,New Property
Mumbai,1.0,Andheri East Mumbai,148.0,33712.98,439.0,New Property
Mumbai,2.0,Wadala East Mumbai,340.0,34205.23,994.0,Resale
Mumbai,3.0,Borivali East Mumbai,300.0,27124.77,1106.0,New Property
Mumbai,1.0,Malad West Mumbai,115.0,22115.38,520.0,Resale
Mumbai,3.0,Powai Mumbai,390.0,37500.0,1040.0,New Property
Mumbai,4.0,Mulund West Mumbai,536.0,31400.12,1707.0,New Property
Mumbai,2.0,Andheri West Mumbai,445.0,59333.33,750.0,New Property
Mumbai,2.0,Kandivali West Mumbai,297.0,36441.72,815.0,Resale
Mumbai,1.0,Ghatkopar East Mumbai,245.23,58667.03,418.0,Resale
Mumbai,2.0,Vile Parle East Mumbai,350.0,49295.77,710.0,New Property
Mumbai,1.0,Kandivali East Mumbai,115.0,27315.91,421.0,Resale
Mumbai,2.0,Kandivali East Mumbai,168.0,28000.0,600.0,Resale
Mumbai,2.0,Andheri East Mumbai,170.0,26898.73,632.0,New Property
Mumbai,2.0,Wadala East Mumbai,245.0,35714.29,686.0,New Property
